#,Type,Problem,Link,Difficulty,Code
130,LinkedList,Sort Linked List,https://leetcode.com/problems/sort-list/, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/20_Sort_Linked_List.py
131,LinkedList,Sort Linked List 0s 1s 2s,https://www.codingninjas.com/studio/problems/sort-linked-list-of-0s-1s-2s_1071937, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/21_Sort_Linked_List_0s_1s_2s.py
132,LinkedList,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/22_Intersection_of_Two_Linked_Lists.py
133,LinkedList,Add 2 Numbers in Linked List, https://leetcode.com/problems/add-two-numbers/, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/23_Add_2_Numbers_in_Linked_List.py
134,LinkedList,Add one to a number, https://www.codingninjas.com/studio/problems/add-one-to-a-number-represented-as-linked-list_920557, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/24_Add_one_to_a_number.py
135,LinkedList,Delete all occurrences of a given key in a Double Linked List, https://www.codingninjas.com/studio/problems/delete-all-occurrences-of-a-given-key-in-a-doubly-linked-list_8160461, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/25_Delete_all_occurrences_of_a_given_key_in_a_Double_Linked_List.py
136,LinkedList,Find Pairs with given sum Double Linked List, https://www.codingninjas.com/studio/problems/find-pairs-with-given-sum-in-doubly-linked-list_1164172, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/26_Find_Pairs_with_given_sum_Double_Linked_List.py
137,LinkedList,Remove Duplicates from sorted Double Linked List, https://www.codingninjas.com/studio/problems/remove-duplicates-from-a-sorted-doubly-linked-list_2420283, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/27_Remove_Duplicates_from_sorted_Double_Linked_List.py
138,LinkedList,Merge 2 Sorted Linked List,https://leetcode.com/problems/merge-two-sorted-lists/, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/28_Merge_2_Sorted_Linked_List.py
139,LinkedList,Merge K Sorted Linked List,https://leetcode.com/problems/merge-k-sorted-lists/, Hard,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/29_Merge_K_Sorted_Linked_List.py
140,LinkedList,Reverse Linked List in K groups, https://leetcode.com/problems/reverse-nodes-in-k-group/, Hard,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/30_Reverse_Linked_List_in_K_groups.py
141,LinkedList,Flatten Linked List, https://www.codingninjas.com/studio/problems/flatten-a-linked-list_1112655, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/31_Flatten_Linked_List.py
142,LinkedList,Clone Linked List Random Pointers,https://leetcode.com/problems/copy-list-with-random-pointer/description/, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/32_Clone_Linked_List_Random_Pointers.py
143,LinkedList,Rotate Linked List, https://leetcode.com/problems/rotate-list/, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/33_Rotate_Linked_List.py
144,LinkedList,Design Hashmap,https://leetcode.com/problems/design-hashmap/,Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/34_Design_Hashmap.py
145,LinkedList,Design Hashset,https://leetcode.com/problems/design-hashset/description/, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/35_Design_Hashset.py
146,LinkedList,Design Browser History,https://leetcode.com/problems/design-browser-history/,Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/36_Design_Browser_History.py
147,LinkedList,Design LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/4_LinkedList/37_Design_LRU_Cache.py
148,Recursion,Print n times,https://www.codingninjas.com/studio/problems/-print-n-times_8380707, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/1_Print_n_times.py
149,Recursion,1 to N Without Loop,https://www.codingninjas.com/studio/problems/print-1-to-n_628290, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/2_1_to N Without Loop.py
150,Recursion,N to 1 Without Loop,https://www.codingninjas.com/studio/problems/print-1-to-n_628290, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/3_N_to_1_Without_Loop.py
151,Recursion,Sum Of First N Numbers,https://www.codingninjas.com/studio/problems/sum-of-first-n-numbers_8876068, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/4_Sum Of First N Numbers.py
152,Recursion,Factorial Numbers Not Greater Than N,https://www.codingninjas.com/studio/problems/factorial-numbers-not-greater-than-n_8365435, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/5_Factorial Numbers Not Greater Than N.py
153,Recursion,Sum of digits,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/6_Sum_of_digits.py
154,Recursion,Product of digits,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/7_Product_of_digits.py
155,Recursion,Reverse a number,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/8_Reverse_a_number.py
156,Recursion,Palindrome Number,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/9_Palindrome_Number.py
157,Recursion,Count Zeroes in a number,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/10_Count_Zeroes_in_a_number.py
158,Recursion,Number of Steps to reduce to zero,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero/, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/11_Number_of_Steps_to_reduce_to_zero.py
159,Recursion,Reverse an Array,https://www.codingninjas.com/studio/problems/reverse-an-array_8365444, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/12_Reverse an Array.py
160,Recursion,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/13_Valid Palindrome.py
161,Recursion,Fibonacci Number,https://leetcode.com/problems/fibonacci-number/, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/14_Fibonacci_Number.py
162,Recursion,Check Array Sorted,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/15_Check_Array_Sorted.py
163,Recursion,Linear Search,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/16_Linear_Search.py
164,Recursion,Linear Search Multi Occurences,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/17_Linear_Search_Multi_Occurences.py
165,Recursion,Search in a rotated sorted array,https://leetcode.com/problems/search-in-rotated-sorted-array/, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/18_Search_in_a_rotated_sorted_array.py
166,Recursion,Pow x n Binary Exponentiation,https://leetcode.com/problems/powx-n/, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/19_Pow_x_n_Binary_Exponentiation.py
167,Recursion,Count Good Numbers,https://leetcode.com/problems/count-good-numbers/, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/20_Count_Good_Numbers.py
168,Recursion,Merge Sort,NA, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/21_Merge_Sort.py
169,Recursion,Quick Sort,https://www.codingninjas.com/studio/problems/quick-sort_5844, Medium,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/22_Quick_Sort.py
170,Recursion,Skip a character,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/23_Skip_a_character.py
171,Recursion,Skip string,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/24_Skip_string.py
172,Recursion,Skip string when not starts with some string,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/25_Skip_string_when_not_starts_with_some_string.py
173,Recursion,Subsequences,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/26_Subsequences.py
174,Recursion,Subsequences ASCII,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/27_Subsequences_ASCII.py
175,Recursion,Iterative Subsequence,NA, Easy,https://raw.githubusercontent.com/glowfi/DS/main/Programs/5_Recursion/28_Iterative_Subsequence.py
